Emoji,count
🧪,146
🇮🇳,95
🔬,78
👨‍🔬,65
👩‍🔬,63
👩🏻‍🔬,60
⚗️,57
❤️,56
⚡,54
🇺🇸,53
🏳️‍🌈,51
🔋,39
🇬🇧,38
📚,37
🇨🇦,35
🎓,34
🧬,33
🇩🇪,33
🇲🇽,31
💡,29
❤,28
🇪🇸,27
☀️,26
🇵🇰,25
⚽,25
🇪🇺,24
💚,23
💙,23
✨,23
👨🏻‍🔬,23
🇧🇷,22
🇫🇷,22
🇮🇹,21
🇨🇳,20
🇯🇵,20
🌱,18
🧫,18
🌍,18
😎,17
📖,17
🙏,16
☕,16
🥼,16
📍,16
🌈,15
💻,15
🇨🇭,15
✈️,15
➡️,15
🇮🇪,15
🧑‍🔬,14
🌎,14
🙂,14
👩🏼‍🔬,14
💎,14
🇦🇺,14
⚛️,14
♻️,13
🌏,13
😊,13
🇰🇷,13
💊,13
⏳,13
🇸🇬,13
💫,12
😍,12
🇨🇴,12
🐱,12
🇧🇪,12
⚗,11
⚙️,11
🧐,11
🧠,10
♥️,10
💜,10
🍃,10
🇸🇦,10
🔥,10
🇺🇦,10
😂,10
👩🏽‍🔬,9
⚛,9
🚀,9
🤖,9
🌸,9
🌻,9
📷,9
🇵🇹,9
🤓,9
🖤,9
💛,9
🇵🇱,9
💕,9
💉,9
🇳🇱,9
🔭,8
🐾,8
🍁,8
🌹,8
🌲,8
🐶,8
☺️,8
📸,8
👨‍🎓,7
🎹,7
🎨,7
🇵🇪,7
🏏,7
🏞️,7
👨🏽‍🔬,7
🤝,7
🏸,7
🦋,7
🔍,7
👉,7
🏃,7
🍀,7
😀,7
👀,7
🇩🇰,7
🧲,7
🎵,7
🇬🇷,6
💥,6
🌳,6
❄️,6
🇷🇺,6
☁️,6
💯,6
🇧🇩,6
🎧,6
🦠,6
💞,6
👩🏻‍💻,6
🌿,6
🇹🇭,6
📝,6
😉,6
👇,6
🦅,6
🎶,6
🥽,6
🇸🇪,6
🌟,6
🇮🇨,6
🇨🇿,6
🇦🇹,6
🏀,6
👩‍💻,6
🏴󠁧󠁢󠁳󠁣󠁴󠁿,6
🤹‍♀️,6
🇪🇬,5
🤗,5
💖,5
🐝,5
🚩,5
🥊,5
🏓,5
🇨🇺,5
🎸,5
☮️,5
📑,5
🌴,5
🧑🏻‍🔬,5
🇹🇷,5
🎖️,5
💪,5
🎮,5
🏃‍♂️,5
🌾,5
🧡,5
⭕,5
🐈,5
🇺🇲,5
🎾,5
🇨🇱,5
💃,5
👩‍🎓,5
🔸,5
🔴,5
❄,5
🤍,4
📈,4
✍️,4
✝️,4
💭,4
🏊‍♂️,4
🤪,4
👑,4
🇲🇾,4
🇦🇪,4
🇳🇬,4
💔,4
🚲,4
☪️,4
🇻🇪,4
🥰,4
🇮🇷,4
🧑‍💻,4
🥀,4
♥,4
😇,4
🕊,4
🦄,4
🏊,4
😃,4
🌊,4
✌️,4
👨🏼‍🔬,4
👍,4
🇹🇼,4
🏅,4
🥑,4
🇮🇱,4
🐻,4
😘,4
🦉,4
🇭🇰,4
🔶,4
🇪🇹,4
💧,4
⬅️,4
☘️,4
🥁,4
🏔,4
🇳🇿,4
▪️,4
❣️,3
😁,3
🌞,3
🌺,3
🕊️,3
🛰️,3
💦,3
😜,3
🤟,3
💋,3
🤩,3
🧚🏻‍♀️,3
🎯,3
⛰️,3
🫀,3
🍫,3
🇾🇪,3
🇱🇰,3
😌,3
🫧,3
🧑‍🎓,3
🛒,3
🐯,3
😆,3
🇨🇷,3
🖥️,3
♊,3
♓,3
🦆,3
👨‍💻,3
🍺,3
🍷,3
🐈‍⬛,3
🌒,3
🔃,3
🔁,3
☢️,3
💗,3
🇦🇷,3
🇵🇭,3
👩🏼‍🎓,3
3️⃣,3
5️⃣,3
💍,3
♟,3
🇵🇷,3
🇹🇳,3
🎼,3
🌌,3
✌,3
✈,3
⌨️,3
™,3
🚵,3
🪴,3
👨‍🍳,3
🇸🇰,3
🏍,3
🇿🇦,3
🐕,3
🏴󠁧󠁢󠁷󠁬󠁳󠁿,3
🎄,2
🕯,2
🎻,2
🏫,2
🤞🏼,2
✏️,2
🧑🏾‍🔬,2
🐍,2
🍂,2
🛸,2
☠,2
⚕️,2
👩‍🏫,2
🔧,2
✊,2
⚖️,2
🪐,2
🇬🇪,2
🇪🇨,2
🗣,2
🇦🇱,2
🏝,2
🏭,2
🏘,2
🚴,2
🏃🏼‍♀️,2
🇲🇦,2
🇧🇬,2
🏄‍♀️,2
🕌,2
🇯🇴,2
✌🏼,2
🤘,2
💘,2
😅,2
⛷,2
🏈,2
✡️,2
🍜,2
🍱,2
▫,2
🔗,2
🪫,2
🚙,2
🏍️,2
🇪🇪,2
🚬,2
🕺,2
🌪️,2
🍊,2
♏,2
🦀,2
💮,2
🍓,2
⭐,2
☀,2
🗝,2
🌘,2
🔄,2
🐦,2
⛽,2
👨‍🏫,2
🧳,2
🚣,2
🧘‍♂️,2
🛰,2
🎳,2
🇬🇹,2
🏆,2
🏐,2
💸,2
▶,2
😋,2
🌡,2
🇭🇺,2
🇦🇫,2
🗻,2
🏁,2
🏖,2
🇶🇦,2
🍵,2
🖊,2
⛄,2
🙄,2
🤔,2
🐚,2
🥈,2
1️⃣,2
2️⃣,2
📌,2
👨‍👩‍👧,2
✊🏾,2
🎲,2
😴,2
🇷🇸,2
🚴‍♂️,2
🍻,2
🌼,2
⛰,2
📿,2
♦️,2
🔌,2
🤞,2
🛍,2
🐣,2
🇨🇵,2
🐟,2
🌧,2
👨🏾‍🔬,2
🖖,2
🖥,2
📊,2
✂️,2
🏥,2
🖖🏾,2
🚗,2
🐵,2
🎤,2
📱,2
☸️,2
⛏,2
🏳️‍⚧️,2
☯️,2
👩🏾‍🔬,2
🥳,2
🔜,2
🐥,2
🐬,2
✉️,2
🐧,2
⛸,2
🐠,2
🌵,2
🎬,2
🧗‍♀️,2
🚴‍♀️,2
👩🏼‍🏫,2
🏃🏻‍♀️,2
🦑,2
🤙,2
🇳🇵,2
🥦,2
👠,2
👌,2
🎥,2
🔛,2
🏴󠁧󠁢󠁥󠁮󠁧󠁿,2
⚪,2
〰,2
💨,2
👇🏻,2
🇭🇷,2
🐄,2
🇫🇮,2
👨,1
🦣,1
🤨,1
🌔,1
👽,1
👩‍🎨,1
🌜,1
👨‍🚀,1
🤘🏽,1
🤰,1
🎭,1
🎞️,1
🕋,1
🙃,1
🤳,1
♎,1
🐺,1
🤦‍♀️,1
😄,1
🪛,1
🍿,1
🟣,1
🧽,1
⛸️,1
♐,1
⚕,1
♟️,1
🏞,1
☺,1
😒,1
🌇,1
👤,1
👨🏽‍💻,1
🗼,1
🗞️,1
🎇,1
👈,1
🧑🏻‍💻,1
🖋️,1
🛢️,1
💓,1
🚵🏼‍♀️,1
🏳‍🌈,1
🚑,1
🦂,1
👹,1
↘,1
🇧🇦,1
⚜,1
🍨,1
🦁,1
🧚,1
🐇,1
🍑,1
🏋️‍♂️,1
✴️,1
🥇,1
🗜,1
🥾,1
🏃🏽‍♂️,1
🚵🏽‍♂️,1
🚛,1
🚚,1
🧑🏻‍🎨,1
💬,1
📭,1
🌡️,1
⌛,1
🍶,1
🍖,1
🍣,1
🌠,1
🌛,1
📒,1
😽,1
👨🏼‍🎓,1
🤲,1
🫶,1
🐉,1
🦜,1
🦚,1
🦢,1
🥘,1
😐,1
🟪,1
🥭,1
🤷🏼‍♀️,1
🇨🇾,1
🍕,1
🏄,1
🇲🇿,1
🇬🇭,1
🫠,1
🖇️,1
💣,1
😶,1
😈,1
♍,1
🇧🇻,1
🇲🇫,1
✊🏻,1
✡,1
🚦,1
⚠️,1
🇲🇼,1
🏉,1
🎃,1
🧤,1
🧩,1
👏🏽,1
😮‍💨,1
🖕🏽,1
💃🏽,1
👩🏻‍🍳,1
🧘🏻‍♀️,1
🙋🏾‍♂️,1
📶,1
⚾,1
🤭,1
4️⃣,1
9️⃣,1
6️⃣,1
💟,1
🚴🏼‍♂️,1
🐨,1
👦🏼,1
🧒🏼,1
👶🏼,1
👩🏼‍❤️‍💋‍👨🏻,1
🚺,1
🛁,1
😸,1
🌑,1
👨‍⚕,1
🔊,1
🦷,1
🍪,1
⛅,1
🍎,1
📗,1
📕,1
👨🏻‍💻,1
👨🏻‍🎓,1
👨🏿‍💻,1
📢,1
🍅,1
🌽,1
⬆️,1
♒,1
💝,1
👷🏻‍♀️,1
👔,1
👖,1
👞,1
👩🏾‍🎓,1
🌷,1
👕,1
💰,1
🌐,1
❣,1
🧱,1
🗺️,1
☣,1
⚫,1
🏖️,1
🌆,1
🕉️,1
🇱🇧,1
🐎,1
🌄,1
🧘,1
🧑‍⚕️,1
🇷🇴,1
🛄,1
☁,1
🕸,1
🎡,1
⛓,1
👬🏻,1
✌🏻,1
🏃🏽‍♀️,1
🔩,1
📉,1
👟,1
▶️,1
👩🏻‍🎓,1
🌰,1
🦖,1
🕷️,1
🧊,1
🗯,1
🙋,1
🕵️,1
🏔️,1
👩🏽‍🍳,1
🕵️‍♂,1
🚵‍♂️,1
🧑🏻‍🎓,1
🇪🇦,1
♂,1
🙌,1
⚔️,1
🛡,1
⁉️,1
🚘,1
🌩,1
🌪,1
🍲,1
🌮,1
✍,1
💪🏻,1
🏷,1
🇦🇿,1
🇱🇹,1
🐑,1
🔎,1
👉🏻,1
🐒,1
☔,1
🙇‍♀️,1
🚶‍♀️,1
🌙,1
🧉,1
🐘,1
🍼,1
🛹,1
😺,1
👍🏽,1
🌃,1
🧀,1
👨🏽‍🏫,1
🚴🏽‍♂️,1
👦🏻,1
👩🏽‍🎓,1
🎒,1
🌶️,1
🧑🏼‍🔬,1
🍋,1
👨🏿‍💼,1
👨🏿‍🔬,1
🧑🏽‍🔬,1
🧘‍♀️,1
😑,1
🤷🏽‍♂️,1
✍🏻,1
🇽🇰,1
🦙,1
🙇🏼‍♂️,1
🚜,1
📰,1
🍟,1
🚵🏻,1
🦐,1
🧗,1
🏊‍♀️,1
🎉,1
🧘🏻‍♂️,1
⛈,1
👩🏻‍🎨,1
🤞🏾,1
👩🏽‍💻,1
🪓,1
🤸,1
👩🏽‍🏫,1
🤷🏾‍♀️,1
🤯,1
🇹🇩,1
🤘🏻,1
⛹🏻,1
👒,1
🪃,1
🎐,1
🔲,1
🇦🇲,1
⚜️,1
🍉,1
👗,1
💼,1
🇨🇮,1
⬜,1
🐓,1
🤟🏻,1
🏃‍♀️,1
🔅,1
🎫,1
🧸,1
🥅,1
🐏,1
🐢,1
👷🏽‍♀️,1
🍭,1
🇳🇴,1
🏡,1
🛫,1
☠️,1
🥂,1
🐷,1
🦬,1
🥥,1
🥝,1
🖱️,1
🏵️,1
🇲🇰,1
🇸🇿,1
🅱,1
🆒,1
◀,1
🇱🇺,1
👨‍⚕️,1
🤘🏼,1
👍🏼,1
🍰,1
🚵‍♀️,1
🔺,1
😻,1
👩🏻‍🏭,1
🕉,1
🇸🇮,1
🥚,1
🇿🇼,1
🍄,1
☄️,1
⛈️,1
🌓,1
🐲,1
🐴,1
🧛,1
🎩,1
⚔,1
🧑‍🏫,1
🤺,1
😬,1
🤣,1
🎗️,1
🥄,1
🤱,1
🇸🇩,1
🙏🏻,1
🙆‍♀️,1
😷,1
👨‍👩‍👦,1
🐰,1
🪩,1
👩🏼‍💻,1
🍸,1
👨‍👩‍👧‍👧,1
🖌,1
®,1
✌🏽,1
👊,1
🚴🏻‍♂️,1
🇻🇳,1
🇱🇦,1
🐡,1
🦘,1
